,index,Scene,Region,# of Tags,Relevant Tags in Region (Excluding : window;ceiling;floor;door;unknown;wall;window frame),Tied Names,Predicted Names
10,229,00064-gQgtJ9Stk5s,5,17,ceiling lamp;wall lamp;stairs;door frame;wardrobe;radiator;stool;hanging clothes;boots;clothes;shoe rack,Tie: Bedroom & Hall/stairwell,Hall/stairwell
11,242,00064-gQgtJ9Stk5s,18,46,stairs;stairs railing;door frame;carpet;railing;paneling;heater;beam;smoke detector;glass;sofa;curtain;bag;exercise machine;bureau;cardboard box;nightstand;hammock;computer;shelf;box;clutter;picture;pile of magazines;cardboard;storage bin;decoration;storage box;toy;table;bar chair;clothes;towel;book;wood;tissue box;map;game;yoga mat;table lamp;electronics,Tie: Hall/stairwell & Rec room,Hall/stairwell
12,249,00081-5biL7VEkByM,5,39,stairs;carpet;decoration;picture;decorative plant;security detector;door knob;door frame;curtain;curtain rail;wardrobe;hat;clothes;cabinet;porcelain;cup;floor lamp;glass;cups;bottle;vase;mail;ceiling lower;statue;fireplace;stool;sofa;table;smoke detector;ceiling lamp;chair;fire detector,Tie: Bedroom & Living room & Hall/stairwell,Hall/stairwell
13,272,00087-YY8rqV6L6rf,9,39,picture;painting;painting frame;wall electronics;sconce;clock;pillow;armchair;couch;heater;curtain rod;pouffe;coffee table;floor lamp;tv;appliance;tv stand;table lamp;mat;basket of something;storage box;sideboard;book;pot;box;board;toy;fireplace;shelf;countertop;paper storage;book rack;dining chair;dining table,Tie: Dining room & Living room,Living room
14,274,00087-YY8rqV6L6rf,11,63,picture;window glass;garage door;telephone;lamp;coat rack;washing machine and dryer;boiler;hat;box;socket;cabinet;ladder;rug;bucket;boxes;storage box;machine;board;basket of something;chair;pot;wall electronics;bottle of detergent;tool box;utensil;shelf clutter;shelf;mirror;washing stuff;sink;towel;chain;trash bag;tool;cart;broom;appliance;garage door railing;clutter;shelving;book;container;can;bottle;canister;drill;case;cloth;table;countertop;brush;plate;pipe;paper;tool rack;bar,Tie: Laundry room & Garage,Garage
15,282,00096-6HRFAUDqpTb,8,27,painting;box;table;stool;door frame;bookshelf;exercise bike;shelf;picture;cabinet;tv;rocking chair;pillow;decoration;armchair;decorative quilt;end table;couch;ceiling lamp;carpet;doormat,Tie: Living room & Rec room,Living room
16,299,00105-xWvSkKiWQpC,1,60,decoration;notes;picture;calendar;plant;fire alarm;basket;brochure;fridge;floor stand;door frame;cabinet;chair;pile of magazines;vase;decorative plant;box;ceiling wall;bag;cap;hanging clothes;sofa;coffee table;air vent;tv;table lamp;book;table;magazine;carpet;board;sign;seat;light;wall lamp;telephone;switch;door knob;blackboard;shelf;file cabinet;pillar;office chair;projector;ceiling lamp;desk;cover;banner;mat;brochures;exit sign;cup;napkins;bowl,Tie: Office & Living room,Living room
17,331,00109-GTV2Y73Sn5t,8,24,stairs;lamp;decor;doormat;picture;shoe;bench;bag;motion detector;alarm control;hanger;wall electronics;door frame;cabinet;wardrobe;keys;bicycle helmet;umbrella,Tie: Bedroom & Hall/stairwell,Hall/stairwell
18,346,00135-HeSYRw7eMtG,10,39,armchair;pouffe;air conditioner;tv;cabinet;speaker;basket;fireplace wall;fireplace;candle;fireplace utensil;picture;flower;figure;ornament;closet;shelf;pillow;wall clock;toy;lamp;couch;blanket;curtain;table;tissue box;chair;rug;fan;holy cross;radio;kitchen island;bag,Tie: Kitchen & Living room,Living room
19,354,00141-iigzG1rtanx,2,19,door frame;toy;plush toy;basket of something;cart;box;bag;dresser;led tv;picture;l-shaped sofa;mat;pillow,Tie: Bedroom & Living room,Bedroom
20,374,00143-5Kw4nGdqYtS,5,18,lamp;armchair;picture;door frame;wall hanging decoration;book;table;pillow;couch;heater;cabinet;decoration;wardrobe,Tie: Bedroom & Living room,Living room
21,394,00149-UuwwmrTsfBN,9,30,ceiling lamp;air vent;window curtain;chair;desk;tissue;decoration;table lamp;bin;mirror;clock;wardrobe;slippers;clothes;boots;weights;bag;shoe;box;cap;basket;smoke detector;cabinet;chest;picture;banister,Tie: Bedroom & Office,Office
22,395,00149-UuwwmrTsfBN,10,23,stairs;frame;door frame;picture;mirror;cabinet;plate;decoration;door knob;ceiling lamp;smoke detector;lamp;banister;air vent;table;table lamp;sofa,Tie: Living room & Hall/stairwell,Hall/stairwell
23,410,00150-LcAd9dhvVwh,4,13,wardrobe;washing machine;sink cabinet;tap;sink;basket of something;shelf;ventilation hood,Tie: Laundry room & Bedroom,Laundry room
24,464,00168-bHKTDQFJxTw,8,33,door frame;picture;arcade game;box;bar chair;stone support structure;bar cabinet;table;ventilation;wall lamp;ceiling lamp;fire alarm;speaker;couch;chair;mirror frame;mirror;wall sign;fire extinguisher;ceiling vent;computer;electrical controller;plate;bottle;paper towel;glass;glasses;pad,Tie: Office & Living room,Living room
25,465,00168-bHKTDQFJxTw,9,38,stone support structure;door frame;speaker;lamp;ceiling vent;ceiling lamp;shelf;couch;table;chair;frame;box;stair step;wall sign;electric box;camera;ventilation hood;mirror;led tv;arcade game;bar cabinet;refrigerator;bottles;cabinet;basket;hose;fire extinguisher;paper towel;coffee machine;computer;bottle;plate;chandelier,Tie: Office & Kitchen & Living room & Hall/stairwell,Kitchen
26,597,00207-FRQ75PjD278,7,26,blinds;radiator;light fixture;sofa;lamp;clothes;bin;wardrobe;plant;bag;table;dumbbell;towel;cushion;door frame;beam;cabinet;shelving;mirror,Tie: Bedroom & Living room,Bedroom
27,598,00207-FRQ75PjD278,8,27,plant;box;vase;paper;picture;beam;drawer;chest of drawers;table;door frame;wardrobe;light fixture;shoe;shoe rack;bag;hat;painting;chair;statue;vacuum cleaner;bottle;desk,Tie: Bedroom & Office,Office
28,599,00207-FRQ75PjD278,9,17,door frame;painting;vase;table;wardrobe;umbrella;cabinet;exercise equipment;lamp;thermostat;trophy;bottle;refrigerator,Tie: Bedroom & Kitchen & Rec room,Bedroom
29,620,00217-qz3829g1Lzf,12,59,chandelier;floor mat;floor vent;basket;coffee table;table cloth;armchair;folding chair;couch;pillow;mirror;door frame;wall electronics;painting;fireplace;decorative plant;led tv;tv stand;stand;lamp;window curtain;curtain rod;toy;throw blanket;bedside table;shoe;clock;cabinet;candle;plate;wall hanging decoration;floor lamp;electrical controller;book;cat bed;blinds;vessel;sofa chair;rack;vase;box;dresser;flower;chair;picture;trashcan;computer desk;monitor;keyboard;computer mouse;desk lamp;printer;tissue box,Tie: Office & Living room,Living room
30,697,00250-U3oQjwTuMX8,8,18,wall panel;cabinet;sink;flowerpot;vase;kitchen extractor;barbecue;couch;table;box;chair;bench;pillow;wall lamp,Tie: Kitchen & Living room,Living room
31,751,00256-92vYG1q49FY,0,31,lampshade;painting;bag;clothes;cushion;sofa;book;shelf;door frame;rug;picture;stationery;lamp;chair;desk;curtain;curtain rod;radio;dvd;folder;clock;ornament;vase;box;bookshelf,Tie: Office & Living room,Office
32,756,00256-92vYG1q49FY,5,12,exercise bike;chair;table;rug;box;desk;door frame;step,Tie: Office & Rec room,Office
33,805,00262-1xGrZPxG1Hz,1,30,ceiling light;blinds;floor vent;air conditioning;table;armchair;pillow;footrest;tool box;couch;throw blanket;bag;door frame;curtain rod;cabinet;lamp;exercise equipment;floor mat;sensor;vent;painting;speaker;keyboard,Tie: Living room & Rec room,Living room
34,813,00262-1xGrZPxG1Hz,9,23,iron board;paper towel;bottle of detergent;picture;hat;washing machine;floor mat;tap;tool box;ladder;table;chair;basket of towels;toilet paper;water heater;ceiling pipe;ceiling wall;ventilation;support beam;ceiling lamp,Tie: Laundry room & Bathroom,Laundry room
35,819,00263-GGBvSFddQgs,5,13,mirror;wall lamp;washbasin;washing machine;bin;step;handle;sink pipe;vent;shower tub,Tie: Laundry room & Bathroom,Laundry room
36,826,00263-GGBvSFddQgs,12,11,coat rack;wardrobe;wall lamp;support beam;stair step;basket of something;storage bin,Tie: Bedroom & Hall/stairwell,Bedroom
37,856,00269-JNiWU5TZLtt,12,28,lamp;table;armchair;monitor;keyboard;printer;cabinet;telephone;desk;picture;couch;board;heater;shelf;toy;sculpture;bag;refrigerator;calendar;vent;pipe,Tie: Office & Kitchen & Living room,Office
38,866,00272-kA2nG18hCAr,10,33,chandelier;painting;fireplace wall;fireplace;candle;ceiling lamp;door frame;wall hanging decoration;floor mat;armchair;coffee table;box of tissue;lamp;floor lamp;couch;pillow;table;towel;blinds;tv stand;led tv;book;fireplace utensil;trashcan;stairs;staircase handrail,Tie: Living room & Hall/stairwell,Living room
39,871,00272-kA2nG18hCAr,15,40,refrigerator;cart;clothes;clothes hanger rod;clothes hanger;fire extinguisher;cabinet;washing machine;basket;sink;trashcan;towel;shelf;tap;paper towel;bottle of detergent;pipe;support beam;treadmill;stacked chair;exercise bike;clothes dryer;boiler;ceiling pipe;furnace;vacuum cleaner;box;rack;bag;case;basket of something;can;ventilation;ladder,Tie: Laundry room & Kitchen & Rec room,Laundry room
40,887,00294-PPTLa8SkUfo,15,22,ceiling wall;beam;painting;heater;door frame;door stopper;wall hanging decoration;cushion;dresser;table lamp;armchair;couch;panel screen;side table;elephant sculpture;chair,Tie: Bedroom & Living room,Bedroom
41,898,00304-X6Pct1msZv5,0,28,mirror;air conditioner;small table/stand;lamp;dresser;tv;speaker;bag;record player;electrical controller;furnace;cabinet;vase;door frame;picture;pouffe;armchair;couch;pillow;table;ceiling fan;rug,Tie: Bedroom & Living room,Living room
42,899,00304-X6Pct1msZv5,1,13,rug;dresser;picture;kitchen cabinet;chair;lamp;bowl;coffee machine;toy,Tie: Bedroom & Kitchen,Kitchen
43,901,00304-X6Pct1msZv5,3,26,wardrobe;picture;flowerpot;desk;printer;ironing board;chair;bin;rack;book;coffee mug;vase;lamp;globe;parapet;binder;box;newspaper;cabinet;bag;table,Tie: Bedroom & Office,Office
44,919,00313-PE6kVEtrxtj,1,40,shutters;cabinet;fluorescent light;frame;microwave;laundry machine;dishwasher;washer-dryer;water pump;plumbing;blanket;laundry basket;storage box;clothes bag;towel;seat;rack;ladder;vacuum cleaner;hanging clothes;bin;wardrobe;heater;cart;board;pipe;shoe;door window;ceiling lamp;fire alarm;dog bed;doormat;door frame,Tie: Laundry room & Bedroom & Kitchen,Kitchen
45,929,00323-yHLr6bvWsVm,0,27,ceiling lamp;ceiling molding;picture;table lamp;decorative plant;heater;decoration;fireplace;door frame;window curtain;rug;cabinet;coffee table;vase;shelf;tv;tv stand;pillow;l-shaped sofa;dinner table;dinner chair;mirror,Tie: Dining room & Living room,Living room
46,934,00323-yHLr6bvWsVm,5,9,ceiling lamp;handle;washing machine;wardrobe;board;door window;door frame,Tie: Laundry room & Bedroom,Laundry room
47,1011,00366-fxbzYAGkrtm,8,19,wardrobe;art frame;decoration;mirror;desk;cabinet;shelf;trashcan;chair;lamp;door frame;device,Tie: Bedroom & Office,Office
48,1032,00382-S7uMvxjBVZq,1,26,lamp;curtain;picture;door frame;hanger;wall hanging decoration;cabinet;decoration;piano;piano stool;armchair;pouffe;tv;couch;side table;machine;pipe;stairs;railing;carpet,Tie: Living room & Hall/stairwell,Hall/stairwell
49,1069,00386-b3WpMbPFB6q,17,24,door frame;desk;chair;table lamp;board;note;printer;tv;remote control;sewing machine;sewing set;sewing tools;shelf;strings;table;door knob;ceiling lamp;air vent;smoke detector,Tie: Office & Living room,Office
50,1071,00388-pcpn6mFqFCg,0,30,light fixture;picture;radiator;painting;cabinet;box;shelving;platform;panel screen;sofa;tray;lamp;nightstand;armchair;clock;stool;piano;paper;ornament;toy;chest of drawers;step;door frame;shelf;beam,Tie: Bedroom & Living room,Living room
51,1078,00388-pcpn6mFqFCg,7,44,beam;lampshade;decoration;picture;door frame;step;curtain;calendar;clothes;toy;purse;wardrobe;light switch;paper;basket of something;cabinet;chair;bag;bin;lamp;monitor;mouse;book;stationery;keyboard;desk;doormat;plant;basket;material;folder;jacket;box;picture frame;note board;radiator;printer;paper storage;shelving,Tie: Bedroom & Office,Office
52,1114,00407-NPHxDe6VeCc,7,27,ceiling light;rug;footrest;basket;couch;pillow;dresser;painting;blinds;window curtain;telescope;guitar;stand;radiator;picture;led tv;table lamp;lamp;door frame;case;air conditioner,Tie: Bedroom & Living room,Living room
53,1115,00407-NPHxDe6VeCc,8,19,curtain;chair;pillow;radiator;basket;bed small;blanket;dresser;desk;desk lamp;mirror;box;book;ceiling lamp,Tie: Bedroom & Office,Office
54,1121,00407-NPHxDe6VeCc,14,27,ceiling lamp;door frame;radiator;wall clock;exercise bike;floor mat;bench;mat;armchair;throw blanket;coffee table;lamp;toy;ping pong table;cabinet;chair;desk;printer;trashcan;box,Tie: Office & Living room & Rec room,Office
55,1127,00410-v7DzfFFEpsD,0,24,sofa;pillow;fridge;lamp;toy;flag;armchair;chair;footstool;rug;calendar;tv;bookshelf;book;board game;arcade game;rack;table;light fixture,Tie: Kitchen & Living room,Living room
56,1151,00414-77mMEyxhs44,7,38,stairs;device;chest;decoration;book;picture;radiator;sofa;pile of magazines;lamp;decorative plant;table;wall lamp;door frame;door knob;puppet;cabinet;rug;tv;tv stand;carpet;armchair;table lamp;fireplace;stove;utensil;bowl;candle;ceiling lamp;smoke detector;socket,Tie: Kitchen & Living room & Hall/stairwell,Living room
57,1155,00414-77mMEyxhs44,11,29,plate;picture;clock;box;wall lamp;table;decoration;table lamp;curtain;armchair;radiator;decorative plant;tv stand;tv;device;music player;fireplace;decorative lamp;stove;utensil;candle;firewood chest;carpet;sofa;ceiling lamp,Tie: Kitchen & Living room,Living room
58,1223,00444-sX9xad6ULKc,1,27,flower vase;parapet;mirror;door frame;painting;display cabinet;lamp;book;candle;decoration;table;flowerpot;rug;dining table;dining chair;plate;couch;sofa chair;pillow;blinds;archway,Tie: Dining room & Living room,Dining room
59,1306,00476-NtnvZSMK3en,12,16,door frame;dartboard;vacuum cleaner;bag;refrigerator;box;storage shelving;tool;washing machine;trashcan;shoe;doormat,Tie: Laundry room & Kitchen,Laundry room
60,1310,00487-erXNfWVjqZ8,3,31,painting;art frame;mirror;mirror frame;fireplace;mantel;firebox;fireplace sconce;fireplace tool set;curtain;shutter;radiator;table lamp;dresser;armchair;pillow;fume cupboard;decorative bowl;wall electronics;wardrobe;couch;coffee table;decorative plant;stonework;ironing board,Tie: Bedroom & Living room,Living room
61,1311,00487-erXNfWVjqZ8,4,18,chair;dresser;curtain;shutter;radiator;table lamp;side table;dining table;decorative plant;flower vase;chandelier;carpet;doorway,Tie: Bedroom & Dining room,Dining room
62,1364,00508-4vwGX7U38Ux,7,24,picture;wardrobe;binder;table;stack of papers;cabinet;box;bag;cloth;shoe;printer;couch;pillow;book;paper;balustrade;desk;chair,Tie: Bedroom & Office & Living room,Office
63,1371,00525-iKFn6fzyRqs,6,25,decoration;couch;picture;curtain;cabinet;lamp;case;candle;book;monitor;desk;chair;trashcan;printer;stack of papers;pc tower;door frame;mat;rug,Tie: Office & Living room,Office
64,1386,00529-W9YAR9qcuvN,7,28,curtain rod;curtain;tv;cabinet;basket;sliding glass door;mirror;water dispenser;ornament;lamp;table;cup;l-shaped sofa;pillow;blanket;picture;control panel;chair;tray;flower;box;rug;kitchen counter;washing machine,Tie: Laundry room & Kitchen & Living room,Laundry room
65,1401,00534-DBBESbk4Y3k,11,37,rug;window glass;door window;door frame;blinds;wall tv;lampshade;side table;picture;lamp shade;pillow;blanket;armchair;coffee table;couch;decoration;fireplace;shelf;shelf clutter;fireplace wall;decorative plant;appliance;rack;cabinet;fruit bowl;fruit;dining chair;plate;dining table;bottle,Tie: Dining room & Living room,Living room
66,1427,00538-3CBBjsNkhqW,3,46,ceiling fan;lamp;appliance;picture;column;pouffe;curtain;gym equipment;rug;workout bike;trashcan;globe;device;telephone;speaker;desk chair;monitor;shelf;desk;cabinet;pillow;sofa chair;flower;flowerpot;table;couch;chair;tv;door frame;mirror;decoration;clutter;fireplace;folding chair;storage box;book;toy;wall cabinet;window shutter;display cabinet;ventilation,Tie: Office & Living room,Office
67,1432,00538-3CBBjsNkhqW,8,23,ceiling fixture;lamp;picture;tv;stairs railing;couch;door frame;armchair;newspaper;box;table;vase;tray;flowerpot;flower;cabinet table;cabinet;rug,Tie: Living room & Hall/stairwell,Living room
68,1445,00538-3CBBjsNkhqW,21,26,ceiling fan;lamp;door frame;sofa chair;picture;cardboard box;file cabinet;stack of papers;book;office chair;clutter;pillow;l-shaped sofa;device;dresser;desk;ventilation;holy cross;calendar,Tie: Office & Living room,Office
69,1450,00539-zUG6FL9TYeR,4,23,door frame;decoration;cabinet;sofa;table;couch;armchair;support beam;furnace;sink;lamp;device;stairs;stairs railing;carpet;pillow,Tie: Living room & Hall/stairwell,Living room
70,1468,00541-FnDDfrBZPhh,12,69,pipe;lamp;smoke detector;air duct;pillar;beam;chair;pillow;can;tool box;compressor;electric box;cables;tv;dvd player;dvd;tv stand;papers;book;cabinet;paper;drawer cart;gas furnace;container;bags;bag;silicone tube;wood;drywall board;door frame;bottle of detergent;clothes;washing machine;hose;tap;box;sink;clothes dryer;lid;canal;electrical controller;water tank;furnace;laundry basket;laundry;basket;table;bowl;hanger;vacuum cleaner;scoop;cat food bag;drawers;bucket;boards;buckets;case;toy;canvas;shelving;stairs;spirit level;rug;stick,Tie: Laundry room & Hall/stairwell,Hall/stairwell
71,1477,00546-nS8T59Aw3sf,9,20,picture;radiator;cabinet;fireplace;fireplace tool set;lamp;stereo set;dresser;book;mirror;bookshelf;chair;dining table;flower vase;door frame,Tie: Bedroom & Dining room,Dining room
72,1534,00567-KjZrPggnHm8,2,15,picture;wardrobe;door frame;curtain;table;armchair;pillow;book;lamp;couch;rug,Tie: Bedroom & Living room,Living room
73,1557,00582-TYDavTf8oyy,1,8,wardrobe;chest;exercise machine;ceiling lamp,Tie: Bedroom & Rec room,Bedroom
74,1582,00590-qgZhhx1MpTi,8,24,window curtain;curtain rod;flowerpot;tv;dresser;basket;cuddly toy;rack;box;couch;pillow;blanket;cabinet;lamp;table;tray;book;rug;candle,Tie: Bedroom & Living room,Living room
75,1586,00590-qgZhhx1MpTi,12,28,garage door;stack of papers;machine;bucket;shovel;box;picture;rug;bag;table;cabinet;bowl;toilet paper;electric box;hanger;tool;cloth;pipe;hearth;ladder;refrigerator;rack;lamp;car,Tie: Kitchen & Bathroom & Garage,Garage
76,1594,00591-JptJPosx1Z6,8,26,picture;fireplace;armchair;pillow;figure;column;couch;clock;stand;curtain;rope;book;plant;carpet;mirror;lamp;dresser;seat;furniture;bottle,Tie: Bedroom & Living room,Living room
77,1631,00598-mt9H8KcxRKD,6,9,wardrobe;lamp;desk;chair,Tie: Bedroom & Office,Office
78,1632,00598-mt9H8KcxRKD,7,11,blinds;wardrobe;desk;chair;bin;lamp,Tie: Bedroom & Office,Office
79,1633,00598-mt9H8KcxRKD,8,14,chair;lamp;cabinet;couch;desk;bin;printer;monitor;telephone,Tie: Office & Living room,Office
80,1652,00598-mt9H8KcxRKD,27,14,cabinet;couch;shelf;desk;monitor;table;chair;bin;lamp,Tie: Office & Living room,Office
81,1676,00619-R9fYpvCUkV7,3,20,lamp;table;sofa;radiator;water dispenser;water tank;storage cabinet;decorative plant;gym equipment;pipe;glass;door frame;paper;book;pile of magazines,Tie: Living room & Rec room,Living room
82,1678,00619-R9fYpvCUkV7,5,27,lamp;stool;chair;trashcan;fire extinguisher;gate;door frame;fridge;trophy;side table;desk;bulletin board;window glass;shelf;electric box;paper storage;paper;payment terminal;cash register;picture;power strip,Tie: Office & Kitchen,Office
83,1692,00624-ooq3SnvC79d,7,22,door frame;wardrobe;countertop;towel;tap;laundry basket;iron;clothes dryer;washing machine;cabinet;laundry;shoe;hanger;set of hangers;sink;lamp;attic door,Tie: Laundry room & Bedroom,Laundry room
84,1717,00626-XiJhRLvpKpX,16,20,door frame;stage;massage bed;wall hanging decoration;clock;cabinet;nightstand;lamp table;basket of something;pot;bathroom cabinet;sink;mirror;candle;shelf;decoration,Tie: Bedroom & Bathroom,Bathroom
85,1719,00626-XiJhRLvpKpX,18,20,mirror;door frame;armchair;curtain;cabinet;yoga mat;shelf;wall cabinet;plant;floor lamp;bathroom cabinet;sink;painting;decoration;vase,Tie: Bathroom & Rec room,Bathroom
86,1766,00662-aRKASs4e8j1,2,38,light fixture;air vent;sign;fire alarm;bowl;machine;door frame;rack;tank;device;box;mouse;computer;keyboard;monitor;tissue box;bottle;chair;electric outlet;table;tap;gloves;sink;folder;soap dispenser;pillar;refrigerator;printer;countertop /otherroom;cabinet /otherroom;telephone,Tie: Office & Kitchen,Kitchen
87,1768,00664-u5atqC7vRCY,1,33,radiator;curtain;art frame;lamp;cabinet;shelf;door frame;decoration;table;couch;chair;flowerpot;device;mirror;furniture;picture frame;laptop;stairs;support beam;wall board;rug;pillow;basket of something;boxes with books;wine;box with books,Tie: Office & Living room & Hall/stairwell,Hall/stairwell
88,1823,00685-ENiCjXWB6aQ,15,14,lamp;wash cabinet;towel;towel bar;mirror;drawer;door cabinet;washing stuff;faucet;washbasin;bathroom accessory,Tie: Laundry room & Bathroom,Laundry room
89,1851,00696-DsEJeNPcZtE,11,30,door frame;furnace;shelf;decoration;clock;painting;armchair;device;telephone;ceiling lamp;ceiling fan;mirror;chair;vase;table;couch;pillow;doormat;pillar;stairs;banister;lamp;carpet,Tie: Living room & Hall/stairwell,Hall/stairwell
90,1861,00706-YHmAkqgwe2p,5,29,picture;wall hanging decoration;cabinet;sculpture;alarm control;shelf;stand/small table;tv;table lamp;lamp;chair;basket of something;parapet;radiator;vase;armchair;couch;cushion;rug;table;dresser;sensor;flower vase;dining table,Tie: Bedroom & Dining room & Living room,Dining room
91,1862,00706-YHmAkqgwe2p,6,28,cabinet;shelf;liquid soap;toilet paper;stack of papers;newspaper;washcloth;box;case;table;sink;tap;washing machine;laundry basket;towel;dishwasher;pot;jar;plate;microwave;kettle;lamp;door frame,Tie: Laundry room & Kitchen & Bathroom,Kitchen
92,1894,00720-8B43pG641ff,1,25,door frame;aisle frame;door knob;picture;ceiling lamp;attic door;air vent;shelf;book;toy;decoration;globe;mascot;cabinet;armchair;pillow;box;box with jewelry;sofa,Tie: Bedroom & Living room,Living room
93,1905,00720-8B43pG641ff,12,26,decorative plant;picture;mirror;prop;rug;banister;pot;pillar;armchair;ottoman;table;sofa;pillow;blanket;decoration;chair;tray;ceiling lamp;lounger;stairs,Tie: Living room & Hall/stairwell,Hall/stairwell
94,1907,00720-8B43pG641ff,14,58,mat;shelf;picture;basket;shoe;desk;box;device;stool;decoration;fishing rod;fitness ball;exercising blocks;ball;dumbbell;treadmill;fan;electric guitar;guitar;speaker;pot;tv;book;music player;papers;bottle;trophy;table;sofa;pillow;door frame;door knob;chair;bag;stick;sheet;cabinet;blanket;thermometer;case;monitor;drawing;map;sign;bin;pan;hanger;knife;kitchen utensil;kitchen cabinet;ceiling lamp;air vent;foosball table,Tie: Kitchen & Rec room,Kitchen
95,1911,00723-hWDDQnSDMXb,4,19,wall electronics;wall hanging decoration;desk;chair;heater;cabinet;table cloth;lamp table;painting;ceiling lamp;alarm;stairs,Tie: Office & Hall/stairwell,Hall/stairwell
96,1947,00733-GtM3JtRvvvR,1,19,door frame;doormat;lamp;wardrobe;mirror;sofa;plant;chair;table;radiator;curtain;window glass;door stopper;smoke detector,Tie: Bedroom & Living room,Living room
97,1950,00733-GtM3JtRvvvR,4,23,painting;mirror;radiator;table;plant;dining chair;armchair;sofa;stool;carpet;tv;shelf;chest of drawers;photo mount;wall lamp;lamp;curtain;pillow;window glass,Tie: Dining room & Living room,Living room
98,1971,00741-w8GiikYuFRk,1,32,picture;moose head/sculpture/hunting trophy;lamp;fireplace sconce;book;decoration;antique clock;armchair;cabinet;art/statue;holy cross;curtain rail;curtain;hanger;rope;chest;table;chair;door frame;couch;stove;decorative plant;hunting trophy;rug;security camera;fire alarm;fireplace utensil,Tie: Kitchen & Living room,Living room
99,1972,00741-w8GiikYuFRk,2,33,picture;decoration;easel;cabinet;couch;door frame;cup;curtain rail;curtain;hanger;rope;table;desk;book;stuffed animal;statue;flower stand;decorative plant;chair;lamp;piano;candle holder;electric box;sensor;fire alarm;rug;security camera,Tie: Office & Living room,Office
100,1973,00741-w8GiikYuFRk,3,29,picture;door frame;curtain rail;curtain;dresser;statue;candle holder;dish;stove;sculpture;cabinet;chest;decoration;case;bouquet;lamp;flower stand;decorative plant;table;chair;fire alarm;sensor;security camera;speaker;rug,Tie: Bedroom & Kitchen,Bedroom
101,1974,00741-w8GiikYuFRk,4,34,picture;cabinet;rack;stove;book;book display;closet;desk;stack of papers;wall board;holy cross;electrical box;door frame;safe;counter;display cabinet;display;table;decorative plant;decoration;curtain rod;curtain;hanger;rope;sensor;security camera;lamp;fire alarm,Tie: Office & Kitchen,Office
102,1976,00741-w8GiikYuFRk,6,28,picture;board;display cabinet;rack;lamp;stove;easel;curtain rail;curtain;hanger;rope;chest;bed small;book display;stand;drum;fire alarm;security camera;sensor;rug;door frame;fire extinguisher;display,Tie: Bedroom & Kitchen,Kitchen
103,1977,00741-w8GiikYuFRk,7,28,picture;rug;hunting trophy;decoration;stove;display cabinet;stuffed animal;book display;display;case;desk;typewriter;statue;chair;box;curtain rail;curtain;book rack;fire alarm;lamp;security camera;sensor;paper,Tie: Office & Kitchen,Office
